,ibgeID,cidade,estado,pop,estadoNome
2,1100015,Alta Floresta D'Oeste,RO,22945,Rondônia
3,1100023,Ariquemes,RO,107863,Rondônia
4,1100031,Cabixi,RO,5312,Rondônia
5,1100049,Cacoal,RO,85359,Rondônia
6,1100056,Cerejeiras,RO,16323,Rondônia
7,1100064,Colorado do Oeste,RO,15882,Rondônia
8,1100072,Corumbiara,RO,7391,Rondônia
9,1100080,Costa Marques,RO,18331,Rondônia
10,1100098,Espigão D'Oeste,RO,32374,Rondônia
11,1100106,Guajará-Mirim,RO,46174,Rondônia
12,1100114,Jaru,RO,51775,Rondônia
13,1100122,Ji-Paraná,RO,128969,Rondônia
14,1100130,Machadinho D'Oeste,RO,39991,Rondônia
15,1100148,Nova Brasilândia D'Oeste,RO,20474,Rondônia
16,1100155,Ouro Preto do Oeste,RO,36035,Rondônia
17,1100189,Pimenta Bueno,RO,36660,Rondônia
18,1100205,Porto Velho,RO,529544,Rondônia
19,1100254,Presidente Médici,RO,18986,Rondônia
20,1100262,Rio Crespo,RO,3764,Rondônia
21,1100288,Rolim de Moura,RO,55058,Rondônia
22,1100296,Santa Luzia D'Oeste,RO,6495,Rondônia
23,1100304,Vilhena,RO,99854,Rondônia
24,1100320,São Miguel do Guaporé,RO,23005,Rondônia
25,1100338,Nova Mamoré,RO,30583,Rondônia
26,1100346,Alvorada D'Oeste,RO,14411,Rondônia
27,1100379,Alto Alegre dos Parecis,RO,13241,Rondônia
28,1100403,Alto Paraíso,RO,21428,Rondônia
29,1100452,Buritis,RO,39654,Rondônia
30,1100502,Novo Horizonte do Oeste,RO,8538,Rondônia
31,1100601,Cacaulândia,RO,6230,Rondônia
32,1100700,Campo Novo de Rondônia,RO,14139,Rondônia
33,1100809,Candeias do Jamari,RO,26693,Rondônia
34,1100908,Castanheiras,RO,3052,Rondônia
35,1100924,Chupinguaia,RO,11182,Rondônia
36,1100940,Cujubim,RO,25215,Rondônia
37,1101005,Governador Jorge Teixeira,RO,7767,Rondônia
38,1101104,Itapuã do Oeste,RO,10458,Rondônia
39,1101203,Ministro Andreazza,RO,9660,Rondônia
40,1101302,Mirante da Serra,RO,10947,Rondônia
41,1101401,Monte Negro,RO,15852,Rondônia
42,1101435,Nova União,RO,6970,Rondônia
43,1101450,Parecis,RO,6074,Rondônia
44,1101468,Pimenteiras do Oeste,RO,2169,Rondônia
45,1101476,Primavera de Rondônia,RO,2856,Rondônia
46,1101484,São Felipe D'Oeste,RO,5172,Rondônia
47,1101492,São Francisco do Guaporé,RO,20266,Rondônia
48,1101500,Seringueiras,RO,11856,Rondônia
49,1101559,Teixeirópolis,RO,4308,Rondônia
50,1101609,Theobroma,RO,10444,Rondônia
51,1101708,Urupá,RO,11467,Rondônia
52,1101757,Vale do Anari,RO,11204,Rondônia
53,1101807,Vale do Paraíso,RO,6825,Rondônia
54,1200013,Acrelândia,AC,15256,Acre
55,1200054,Assis Brasil,AC,7417,Acre
56,1200104,Brasiléia,AC,26278,Acre
57,1200138,Bujari,AC,10266,Acre
58,1200179,Capixaba,AC,11733,Acre
59,1200203,Cruzeiro do Sul,AC,88376,Acre
60,1200252,Epitaciolândia,AC,18411,Acre
61,1200302,Feijó,AC,34780,Acre
62,1200328,Jordão,AC,8317,Acre
63,1200336,Mâncio Lima,AC,18977,Acre
64,1200344,Manoel Urbano,AC,9459,Acre
65,1200351,Marechal Thaumaturgo,AC,18867,Acre
66,1200385,Plácido de Castro,AC,19761,Acre
67,1200393,Porto Walter,AC,11982,Acre
68,1200401,Rio Branco,AC,407319,Acre
69,1200427,Rodrigues Alves,AC,18930,Acre
70,1200435,Santa Rosa do Purus,AC,6540,Acre
71,1200450,Senador Guiomard,AC,23024,Acre
72,1200500,Sena Madureira,AC,45848,Acre
73,1200609,Tarauacá,AC,42567,Acre
74,1200708,Xapuri,AC,19323,Acre
75,1200807,Porto Acre,AC,18504,Acre
76,1300029,Alvarães,AM,16041,Amazonas
77,1300060,Amaturá,AM,11536,Amazonas
78,1300086,Anamã,AM,13614,Amazonas
79,1300102,Anori,AM,21010,Amazonas
80,1300144,Apuí,AM,21973,Amazonas
81,1300201,Atalaia do Norte,AM,19921,Amazonas
82,1300300,Autazes,AM,39565,Amazonas
83,1300409,Barcelos,AM,27502,Amazonas
84,1300508,Barreirinha,AM,32041,Amazonas
85,1300607,Benjamin Constant,AM,42984,Amazonas
86,1300631,Beruri,AM,19679,Amazonas
87,1300680,Boa Vista do Ramos,AM,19207,Amazonas
88,1300706,Boca do Acre,AM,34308,Amazonas
89,1300805,Borba,AM,41161,Amazonas
90,1300839,Caapiranga,AM,13081,Amazonas
91,1300904,Canutama,AM,15629,Amazonas
92,1301001,Carauari,AM,28294,Amazonas
93,1301100,Careiro,AM,37869,Amazonas
94,1301159,Careiro da Várzea,AM,30225,Amazonas
95,1301209,Coari,AM,85097,Amazonas
96,1301308,Codajás,AM,28637,Amazonas
97,1301407,Eirunepé,AM,35273,Amazonas
98,1301506,Envira,AM,20033,Amazonas
99,1301605,Fonte Boa,AM,17609,Amazonas
100,1301654,Guajará,AM,16678,Amazonas
101,1301704,Humaitá,AM,55080,Amazonas
102,1301803,Ipixuna,AM,29689,Amazonas
103,1301852,Iranduba,AM,48296,Amazonas
104,1301902,Itacoatiara,AM,101337,Amazonas
105,1301951,Itamarati,AM,7851,Amazonas
106,1302009,Itapiranga,AM,9148,Amazonas
107,1302108,Japurá,AM,2755,Amazonas
108,1302207,Juruá,AM,14712,Amazonas
109,1302306,Jutaí,AM,14317,Amazonas
110,1302405,Lábrea,AM,46069,Amazonas
111,1302504,Manacapuru,AM,97377,Amazonas
112,1302553,Manaquiri,AM,32105,Amazonas
113,1302603,Manaus,AM,2182763,Amazonas
114,1302702,Manicoré,AM,55751,Amazonas
115,1302801,Maraã,AM,18224,Amazonas
116,1302900,Maués,AM,63905,Amazonas
117,1303007,Nhamundá,AM,21173,Amazonas
118,1303106,Nova Olinda do Norte,AM,37378,Amazonas
119,1303205,Novo Airão,AM,19454,Amazonas
120,1303304,Novo Aripuanã,AM,25644,Amazonas
121,1303403,Parintins,AM,114273,Amazonas
122,1303502,Pauini,AM,19426,Amazonas
123,1303536,Presidente Figueiredo,AM,36279,Amazonas
124,1303569,Rio Preto da Eva,AM,33347,Amazonas
125,1303601,Santa Isabel do Rio Negro,AM,25156,Amazonas
126,1303700,Santo Antônio do Içá,AM,21602,Amazonas
127,1303809,São Gabriel da Cachoeira,AM,45564,Amazonas
128,1303908,São Paulo de Olivença,AM,39299,Amazonas
129,1303957,São Sebastião do Uatumã,AM,14020,Amazonas
130,1304005,Silves,AM,9171,Amazonas
131,1304062,Tabatinga,AM,65844,Amazonas
132,1304104,Tapauá,AM,17156,Amazonas
133,1304203,Tefé,AM,59849,Amazonas
134,1304237,Tonantins,AM,18755,Amazonas
135,1304260,Uarini,AM,13540,Amazonas
136,1304302,Urucará,AM,16256,Amazonas
137,1304401,Urucurituba,AM,23065,Amazonas
138,1400027,Amajari,RR,12796,Roraima
139,1400050,Alto Alegre,RR,15510,Roraima
140,1400100,Boa Vista,RR,399213,Roraima
141,1400159,Bonfim,RR,12409,Roraima
142,1400175,Cantá,RR,18335,Roraima
143,1400209,Caracaraí,RR,21926,Roraima
144,1400233,Caroebe,RR,10169,Roraima
145,1400282,Iracema,RR,11950,Roraima
146,1400308,Mucajaí,RR,17853,Roraima
147,1400407,Normandia,RR,11290,Roraima
148,1400456,Pacaraima,RR,17401,Roraima
149,1400472,Rorainópolis,RR,30163,Roraima
150,1400506,São João da Baliza,RR,8201,Roraima
151,1400605,São Luiz,RR,7986,Roraima
152,1400704,Uiramutã,RR,10559,Roraima
153,1500107,Abaetetuba,PA,157698,Pará
154,1500131,Abel Figueiredo,PA,7434,Pará
